game_id,home_team,away_team,home_goals,away_goals,home_xg,away_xg,toi,home_shots,away_shots,home_assists,away_assists,home_penalties_committed,away_penalties_committed,home_win,home_games,home_wins,home_losses,home_goals_for,home_goals_against,home_goal_diff,home_win_rate,home_first_xg,home_first_toi,home_first_eff,home_second_xg,home_second_toi,home_second_eff,home_offensive_disparity,away_games,away_wins,away_losses,away_goals_for,away_goals_against,away_goal_diff,away_win_rate,away_first_xg,away_first_toi,away_first_eff,away_second_xg,away_second_toi,away_second_eff,away_offensive_disparity,win_rate_diff,xg_diff,shots_diff,goal_diff_diff,first_eff_diff,second_eff_diff,disparity_diff,xg_ratio,shots_ratio,first_eff_ratio,home_xg_squared,away_xg_squared,win_rate_diff_squared,home_xg_eff,away_xg_eff,home_strength,away_strength,strength_diff,home_total_line_xg,away_total_line_xg,home_avg_line_eff,away_avg_line_eff
game_1,thailand,pakistan,1,3,2.8231,2.7516,3599.99,21,24,2,6,8,6,0,82,50,32,294,248,46,0.6097560975609756,86.34,109874.04,0.0008,86.28,107264.8,0.0008,0.98,82,49,33,263,212,51,0.5975609756097561,87.17,105813.38,0.0008,83.53,104933.06,0.0008,1.03,0.012195121951219523,0.07150000000000034,-3,-5,0.0,0.0,-0.050000000000000044,1.0256121485141323,0.8749635431857006,0.4444444444444445,7.969893610000001,7.5713025599999995,0.00014872099940511625,0.00225848,0.00220128,0.0013771219512195123,0.0013153990243902438,6.172292682926845e-05,172.62,170.7,0.0008,0.0008
game_10,switzerland,kazakhstan,4,3,1.9254,3.3189,3600.01,20,30,7,4,10,0,1,82,36,46,201,229,-28,0.4390243902439024,52.57,110987.13,0.0005,58.43,109669.8,0.0005,0.89,82,30,52,193,248,-55,0.3658536585365853,52.87,114056.8,0.0005,51.99,112334.42,0.0005,1.0,0.07317073170731708,-1.3935000000000002,-10,27,0.0,0.0,-0.10999999999999999,0.5799572276273381,0.6666444451851604,0.3333333333333333,3.70716516,11.01509721,0.005353955978584178,0.0009627,0.00165945,0.0004226487804878048,0.0006071158536585365,-0.00018446707317073174,111.0,104.86,0.0005,0.0005
game_100,serbia,rwanda,4,5,3.6712,3.024,3600.0,30,27,7,10,8,10,0,82,41,41,269,264,5,0.5,84.05,108305.97,0.0008,73.53,105312.95,0.0007,1.11,82,30,52,202,265,-63,0.3658536585365853,69.07,107006.96,0.0006,57.03,105418.77,0.0005,1.19,0.1341463414634147,0.6471999999999998,3,68,0.0002000000000000001,0.00019999999999999998,-0.07999999999999985,1.2136198347107439,1.1110699603718381,0.5000000000000001,13.477709439999998,9.144576,0.017995240928019053,0.00293696,0.0018143999999999999,0.00146848,0.0006638048780487803,0.0008046751219512198,157.57999999999998,126.1,0.00075,0.0005499999999999999
game_1000,brazil,netherlands,5,0,3.5905,2.5261,3600.03,32,27,6,0,10,6,1,82,58,24,276,189,87,0.7073170731707317,81.03,108743.0,0.0007,81.74,107499.01,0.0008,0.98,82,54,28,243,174,69,0.6585365853658537,67.51,113849.1,0.0006,59.96,112610.55,0.0005,1.11,0.04878048780487798,1.0644,5,18,0.00010000000000000005,0.00030000000000000003,-0.13000000000000012,1.4207985437853667,1.185141291063294,0.43750000000000006,12.89169025,6.38118121,0.0023795359904818496,0.00251335,0.0015156599999999998,0.0017777353658536583,0.0009981175609756097,0.0007796178048780486,162.76999999999998,127.47,0.00075,0.0005499999999999999
game_1001,india,morocco,2,3,3.4592,3.765800000000001,3599.99,32,29,4,6,8,8,0,82,49,33,221,193,28,0.5975609756097561,75.42,112740.07,0.0007,64.17,111915.35,0.0006,1.17,82,37,45,249,269,-20,0.4512195121951219,73.31,114302.51,0.0006,71.48,111332.83,0.0006,1.0,0.14634146341463417,-0.30660000000000087,3,48,0.00010000000000000005,0.0,0.16999999999999993,0.9183391738345543,1.1034102272335435,0.43750000000000006,11.96606464,14.181249640000006,0.02141582391433671,0.00242144,0.0022594800000000003,0.0014469580487804876,0.0010195214634146342,0.00042743658536585345,139.59,144.79000000000002,0.00065,0.0006
game_1002,peru,saudi_arabia,0,1,3.3131,2.5685,5676.92,35,23,0,2,12,8,0,82,52,30,256,178,78,0.6341463414634146,75.46,114488.83,0.0007,62.55,113674.83,0.0006,1.2,82,39,43,195,205,-10,0.4756097560975609,70.48,113760.45,0.0006,51.19,112605.88,0.0005,1.36,0.15853658536585374,0.7446000000000002,12,88,0.00010000000000000005,9.999999999999994e-05,-0.16000000000000014,1.2893948238956996,1.5216729707404024,0.43750000000000006,10.97663161,6.597192249999999,0.02513384889946463,0.0023191699999999997,0.0015410999999999997,0.0014706931707317073,0.0007329621951219509,0.0007377309756097564,138.01,121.67,0.00065,0.0005499999999999999
game_1003,china,pakistan,4,3,2.1864,3.3309,3600.01,20,34,6,6,6,7,1,82,47,35,239,193,46,0.573170731707317,79.64,114861.38,0.0007,74.24,112620.31,0.0007,1.05,82,49,33,263,212,51,0.5975609756097561,87.17,105813.38,0.0008,83.53,104933.06,0.0008,1.03,-0.024390243902439046,-1.1445000000000003,-14,-5,-0.00010000000000000005,-0.00010000000000000005,0.020000000000000018,0.6562021669317806,0.5882179935884239,0.3888888888888889,4.78034496,11.094894810000001,0.000594883997620465,0.0015304799999999999,0.00266472,0.0008772263414634144,0.0015923326829268294,-0.0007151063414634149,153.88,170.7,0.0007,0.0008
game_1004,switzerland,uk,1,4,1.5251,2.7155,3600.0,18,26,2,6,6,3,0,82,36,46,201,229,-28,0.4390243902439024,52.57,110987.13,0.0005,58.43,109669.8,0.0005,0.89,82,39,43,244,211,33,0.4756097560975609,87.06,115712.71,0.0008,72.55,112425.66,0.0006,1.17,-0.036585365853658514,-1.1904000000000001,-8,-61,-0.00030000000000000003,-9.999999999999994e-05,-0.2799999999999999,0.561420946070311,0.6922810661128418,0.2777777777777778,2.3259300099999995,7.37394025,0.0013384889946460423,0.00076255,0.0021724,0.0003347780487804877,0.0010332146341463415,-0.0006984365853658539,111.0,159.61,0.0005,0.0007
game_1005,serbia,philippines,2,1,2.4898,2.4407,3599.99,24,27,2,1,6,4,1,82,41,41,269,264,5,0.5,84.05,108305.97,0.0008,73.53,105312.95,0.0007,1.11,82,43,39,198,186,12,0.524390243902439,61.01,119737.71,0.0005,59.32,116453.64,0.0005,1.0,-0.024390243902439046,0.0490999999999997,-3,-7,0.00030000000000000003,0.00019999999999999998,0.1100000000000001,1.0196993897694229,0.8888559682974704,0.5333333333333333,6.199104039999999,5.957016490000001,0.000594883997620465,0.00199184,0.00122035,0.00099592,0.0006399396341463415,0.00035598036585365845,157.57999999999998,120.33,0.00075,0.0005
game_1006,germany,canada,5,1,3.1746,2.1493,3600.02,29,19,6,2,5,4,1,82,36,46,253,274,-21,0.4390243902439024,67.5,112102.08,0.0006,69.39,110169.16,0.0006,0.96,82,36,46,222,265,-43,0.4390243902439024,74.02,112738.79,0.0007,70.48,108486.72,0.0006,1.01,0.0,1.0252999999999997,10,22,-0.00010000000000000005,0.0,-0.050000000000000044,1.4763521369111285,1.5262354612915108,0.3529411764705882,10.078085159999999,4.619490490000001,0.0,0.0019047599999999997,0.0015045100000000001,0.0008362360975609754,0.0006605165853658537,0.00017571951219512178,136.89,144.5,0.0006,0.00065
