iter	Logloss
0	0.687260001
1	0.6827525548
2	0.6780609131
3	0.6735096523
4	0.6687687465
5	0.6637484596
6	0.6603290376
7	0.6570155552
8	0.6525272914
9	0.6486945743
10	0.6455033075
11	0.6421226865
12	0.6378929501
13	0.6347522554
14	0.6319168817
15	0.6296244303
16	0.6265943981
17	0.623861331
18	0.6212618873
19	0.6180246262
20	0.6154400053
21	0.6128907703
22	0.6105975923
23	0.6083445231
24	0.6061980111
25	0.6032326835
26	0.6004419599
27	0.5974211193
28	0.5946869623
29	0.5930312747
30	0.5916473389
31	0.589554487
32	0.587063526
33	0.5848592849
34	0.5834510803
35	0.5818871271
36	0.5798993065
37	0.5789623442
38	0.5761914934
39	0.5743346441
40	0.5724932716
41	0.5713062468
42	0.5697963533
43	0.5681805565
44	0.5660536267
45	0.5636732919
46	0.5626452491
47	0.5610479082
48	0.5590568179
49	0.5567639305
50	0.5553700765
51	0.5543831235
52	0.5532641093
53	0.5514469692
54	0.5493857974
55	0.5482795352
56	0.5470493862
57	0.5458187285
58	0.5448704674
59	0.5429146903
60	0.541872624
61	0.5400614421
62	0.5392546518
63	0.5383916946
64	0.5371800014
65	0.5358061654
66	0.5341409592
67	0.532946632
68	0.5317365737
69	0.5309816633
70	0.5300413586
71	0.5289414179
72	0.5279285976
73	0.527142116
74	0.5255699884
75	0.5242729914
76	0.522832598
77	0.5219809396
78	0.5210699536
79	0.5194945562
80	0.5184181213
81	0.517788333
82	0.5163340251
83	0.5156893412
84	0.5141956874
85	0.5133411952
86	0.5118533543
87	0.5108844212
88	0.5097808475
89	0.5086636135
90	0.5076243446
91	0.5065269834
92	0.5059405009
93	0.5048653739
94	0.5041022164
95	0.5033399673
96	0.5024713789
97	0.5015339443
98	0.5006957281
99	0.4991873605
100	0.4983396984
101	0.4976258777
102	0.4968239194
103	0.4958345322
104	0.4952388945
105	0.4945093791
106	0.4935531253
107	0.49284737
108	0.4920978728
109	0.4910427638
110	0.4900091262
111	0.4892993745
112	0.488617888
113	0.4879176549
114	0.4871063232
115	0.4860201881
116	0.4846197219
117	0.4836965288
118	0.4828147525
119	0.4814591907
120	0.4805708386
121	0.479813712
122	0.4793842134
123	0.4784016564
124	0.4776309059
125	0.4766345796
126	0.4756499154
127	0.474273391
128	0.4733513968
129	0.4717387971
130	0.4705713908
131	0.4698034377
132	0.4689757211
133	0.4678514026
134	0.4666211809
135	0.4657748268
136	0.464830889
137	0.4644396101
138	0.4634945097
139	0.4630219232
140	0.4625132969
141	0.4614378793
142	0.4607573373
143	0.4601459685
144	0.4592339652
145	0.4582929339
146	0.4574829828
147	0.4569322132
148	0.4565110343
149	0.455678413
150	0.454855928
151	0.4540774391
152	0.4529796782
153	0.4519768488
154	0.4515350342
155	0.4504390898
156	0.4495955694
157	0.4486973717
158	0.4478647141
159	0.4469123477
160	0.4463379633
161	0.4459696452
162	0.4456818354
163	0.4448651995
164	0.443792434
165	0.4430260795
166	0.4419546945
167	0.4410889762
168	0.4399721418
169	0.4393321446
170	0.4389258248
171	0.4374433245
172	0.4369182042
173	0.4362763904
174	0.4354545957
175	0.435185169
176	0.4340474447
177	0.4334331331
178	0.4327850705
179	0.432619658
180	0.4317421686
181	0.4312489101
182	0.4306511652
183	0.4294594901
184	0.4293018523
185	0.4286266145
186	0.4279224577
187	0.4267500015
188	0.4262034098
189	0.4252827962
190	0.4246311006
191	0.4237095424
192	0.422576977
193	0.4222078959
194	0.4210065569
195	0.4200210571
196	0.4192708697
197	0.4189661298
198	0.4179565066
199	0.4168858846

